iter	Logloss
0	0.690461913
1	0.6881686542
2	0.6855850337
3	0.6827406978
4	0.6806970734
5	0.6778717813
6	0.6763023348
7	0.6748162793
8	0.6733419585
9	0.6712765843
10	0.6698774065
11	0.668663215
12	0.6666565494
13	0.6656670544
14	0.664347016
15	0.6633132841
16	0.6612702858
17	0.6601763977
18	0.6591306433
19	0.6581428655
20	0.6568987886
21	0.6562252045
22	0.6552154054
23	0.6538914972
24	0.6529784806
25	0.6522626399
26	0.6513329389
27	0.6506155257
28	0.649932551
29	0.649231563
30	0.6483668843
31	0.6475741953
32	0.646665644
33	0.6461451469
34	0.6454170058
35	0.6447600824
36	0.6439865615
37	0.6434052024
38	0.6419762206
39	0.6414208284
40	0.6408237316
41	0.6396453416
42	0.638946954
43	0.638213061
44	0.63759108
45	0.6368639861
46	0.6363003738
47	0.6354334366
48	0.6349930014
49	0.6343326802
50	0.633788816
51	0.6332597375
52	0.6327939523
53	0.6318077502
54	0.6312896723
55	0.6308549882
56	0.6303815307
57	0.6301086521
58	0.6294138628
59	0.6287597069
60	0.6282798975
61	0.6275805426
62	0.6272497832
63	0.6268172877
64	0.6263498361
65	0.625900681
66	0.6252177768
67	0.6247428282
68	0.6242017556
69	0.6236120999
70	0.6230844176
71	0.6225520934
72	0.6221191771
73	0.6217031334
74	0.6212226252
75	0.6207898009
76	0.6203279192
77	0.6198644844
78	0.6193196687
79	0.6188528359
80	0.6184458005
81	0.618030474
82	0.6176872908
83	0.6173260824
84	0.6170085842
85	0.6166778745
86	0.6163062752
87	0.6158934169
88	0.6154815111
89	0.6152190159
90	0.6146591926
91	0.614228721
92	0.6139094839
93	0.6135663473
94	0.6131256138
95	0.6128589524
96	0.6125271091
97	0.6121701427
98	0.6117124753
99	0.6113536728
100	0.6110441573
101	0.6107384861
102	0.6104761579
103	0.6097771894
104	0.6095181544
105	0.608879225
106	0.6085905225
107	0.6083166111
108	0.6078083221
109	0.6074436033
110	0.6070256141
111	0.6067904995
112	0.6065154683
113	0.6061876367
114	0.6058574154
115	0.6054355178
116	0.6051945338
117	0.6048266901
118	0.6045255114
119	0.6041928569
120	0.6038407128
121	0.6036108958
122	0.6033562718
123	0.6030499
124	0.6027982544
125	0.602437514
126	0.6022445162
127	0.6019250102
128	0.6015752279
129	0.6013504251
130	0.6009686778
131	0.6006714063
132	0.6004540666
133	0.6002375234
134	0.6000086752
135	0.5997024065
136	0.5994096022
137	0.5990174444
138	0.5987905729
139	0.5985010391
140	0.5981331254
141	0.5978405673
142	0.5974888314
143	0.5972465148
144	0.5970158509
145	0.5967030409
146	0.5964360933
147	0.5961824373
148	0.595859519
149	0.5954614406
150	0.5952847215
151	0.5950595186
152	0.594821579
153	0.5944808201
154	0.5941702088
155	0.5938660458
156	0.5935085063
157	0.5931854266
158	0.5929043319
159	0.5925572402
160	0.5922173048
161	0.5919196402
162	0.5916293794
163	0.5912995034
164	0.5910658335
165	0.5908630555
166	0.5906373095
167	0.5904097152
168	0.5900292354
169	0.5897778883
170	0.5894501155
171	0.5891979475
172	0.5889529951
173	0.5887251108
174	0.588451218
175	0.5879353986
176	0.5876439155
177	0.5873697556
178	0.587136959
179	0.5868434803
180	0.586644736
181	0.5863145914
182	0.5861508672
183	0.5858767234
184	0.5856358325
185	0.5853755055
186	0.5850994043
187	0.5848456782
188	0.5845790119
189	0.5843848721
190	0.5839786882
191	0.5837904208
192	0.5836181492
193	0.5834681613
194	0.5832180578
195	0.583001883
196	0.5827448518
197	0.5824240161
198	0.5822805384
199	0.5820178182
200	0.5818155473
201	0.581506935
202	0.581317204
203	0.5811502061
204	0.5809715793
205	0.5806946182
206	0.5805031732
207	0.5802775129
208	0.5801254927
209	0.5798931092
210	0.5796697177
211	0.5794594329
212	0.5792139319
213	0.5791088915
214	0.5790012153
215	0.5788230257
216	0.578654081
217	0.5784724281
218	0.5782689916
219	0.5780805958
220	0.5779209188
221	0.5776917681
222	0.5775079251
223	0.5773875589
224	0.5771744036
225	0.577023533
226	0.5768625905
227	0.576725702
228	0.5764514171
229	0.5762322666
230	0.5760392788
231	0.5757708645
232	0.5755771567
233	0.5754247875
234	0.5752046321
235	0.5750376254
236	0.5748404338
237	0.5747119163
238	0.5745659903
239	0.5743878237
240	0.5741897779
241	0.5740038075
242	0.5738353814
243	0.5736327515
244	0.57346737
245	0.5733020695
246	0.5730490549
247	0.5728158758
248	0.5725812267
249	0.5724463746
250	0.5722135223
251	0.5720205667
252	0.5718395957
253	0.5715441409
254	0.5713782424
255	0.5711559103
256	0.5708437308
257	0.5706628728
258	0.5704179492
259	0.5702821437
260	0.5700631609
261	0.5699102373
262	0.5697891137
263	0.5695955396
264	0.5694370589
265	0.5692101835
266	0.5690463601
267	0.5688626947
268	0.5687173015
269	0.5685885329
270	0.5684601111
271	0.5682804184
272	0.5680425866
273	0.5678234437
274	0.5676707416
275	0.5674909034
276	0.5673082065
277	0.5671655638
278	0.5670092072
279	0.566614895
280	0.5664123286
281	0.5662614649
282	0.5660987294
283	0.5658175801
284	0.5654601737
285	0.5653047477
286	0.5651875995
287	0.5650063597
288	0.5648648321
289	0.5647387344
290	0.5645455947
291	0.564395957
292	0.5642219835
293	0.5639822627
294	0.5638332889
295	0.5635679568
296	0.5634198642
297	0.5632272808
298	0.5630983072
299	0.5629149152
300	0.5627423879
301	0.5625989727
302	0.5624350215
303	0.5622478262
304	0.5620856886
305	0.5619393403
306	0.5617848308
307	0.5616568714
308	0.5614468057
309	0.5613063902
310	0.5611652903
311	0.5610495811
312	0.5608740945
313	0.5607160235
314	0.5605728133
315	0.5603896547
316	0.5601910445
317	0.5600267605
318	0.5598646174
319	0.5596316326
320	0.5594935461
321	0.5592930201
322	0.5591212186
323	0.5589473527
324	0.5588381861
325	0.5587014398
326	0.5585585197
